Date,Price
6/12/2019,"1,642.20"
5/12/2019,"1,633.40"
4/12/2019,"1,609.00"
3/12/2019,"1,625.90"
2/12/2019,"1,671.30"
29/11/2019,"1,667.40"
28/11/2019,"1,664.20"
27/11/2019,"1,668.20"
26/11/2019,"1,647.30"
25/11/2019,"1,636.40"
22/11/2019,"1,624.60"
21/11/2019,"1,626.90"
20/11/2019,"1,630.20"
19/11/2019,"1,659.90"
18/11/2019,"1,639.80"
15/11/2019,"1,650.90"
14/11/2019,"1,629.00"
13/11/2019,"1,611.40"
12/11/2019,"1,626.30"
11/11/2019,"1,630.30"
8/11/2019,"1,609.00"
7/11/2019,"1,634.40"
6/11/2019,"1,620.20"
5/11/2019,"1,632.50"
4/11/2019,"1,636.20"
1/11/2019,"1,638.40"
31/10/2019,"1,629.80"
30/10/2019,"1,634.10"
29/10/2019,"1,642.40"
28/10/2019,"1,637.30"
25/10/2019,"1,646.20"
24/10/2019,"1,630.80"
23/10/2019,"1,641.50"
22/10/2019,"1,631.90"
21/10/2019,"1,634.00"
18/10/2019,"1,615.00"
17/10/2019,"1,625.10"
16/10/2019,"1,643.50"
15/10/2019,"1,619.60"
14/10/2019,"1,610.40"
11/10/2019,"1,612.40"
10/10/2019,"1,611.60"
9/10/2019,"1,621.10"
8/10/2019,"1,625.80"
7/10/2019,"1,625.00"
4/10/2019,"1,608.90"
3/10/2019,"1,602.80"
2/10/2019,"1,622.70"
1/10/2019,"1,629.00"
30/09/2019,"1,609.80"
27/09/2019,"1,618.00"
26/09/2019,"1,613.80"
25/09/2019,"1,621.10"
24/09/2019,"1,615.30"
23/09/2019,"1,615.20"
20/09/2019,"1,604.50"
19/09/2019,"1,608.00"
18/09/2019,"1,606.60"
17/09/2019,"1,608.20"
16/09/2019,"1,589.70"
13/09/2019,"1,599.90"
12/9/2019,"1,604.40"
11/9/2019,"1,587.20"
10/9/2019,"1,598.90"
9/9/2019,"1,618.50"
6/9/2019,"1,611.70"
5/9/2019,"1,632.20"
4/9/2019,"1,632.40"
3/9/2019,"1,635.70"
2/9/2019,"1,640.10"
30/08/2019,"1,655.70"
29/08/2019,"1,643.90"
28/08/2019,"1,646.00"
27/08/2019,"1,642.90"
26/08/2019,"1,646.80"
23/08/2019,"1,663.00"
22/08/2019,"1,622.50"
21/08/2019,"1,624.80"
20/08/2019,"1,648.20"
19/08/2019,"1,620.90"
16/08/2019,"1,612.20"
15/08/2019,"1,610.00"
14/08/2019,"1,637.80"
13/08/2019,"1,651.90"
12/8/2019,"1,659.60"
9/8/2019,"1,658.70"
8/8/2019,"1,665.00"
7/8/2019,"1,639.40"
6/8/2019,"1,613.20"
