Date,Price
1/2/2002,"1,391.50"
1/1/2002,"1,403.90"
1/12/2001,"1,424.80"
1/11/2001,"1,417.10"
1/10/2001,"1,421.00"
1/9/2001,"1,375.30"
1/8/2001,"1,388.80"
1/7/2001,"1,358.80"
1/6/2001,"1,348.10"
1/5/2001,"1,309.97"
1/4/2001,"1,294.90"
1/3/2001,"1,287.55"
1/2/2001,"1,314.67"
1/1/2001,"1,313.88"
1/12/2000,"1,340.21"
1/11/2000,"1,292.23"
1/10/2000,"1,266.57"
1/9/2000,"1,276.88"
1/8/2000,"1,288.23"
1/7/2000,"1,307.94"
1/6/2000,"1,277.03"
1/5/2000,"1,264.82"
1/4/2000,"1,254.71"
1/3/2000,"1,231.33"
1/2/2000,"1,240.00"
1/1/2000,"1,182.40"
